addres,code,dastresi,tejary,darmany,farhangi_honary,tafrihy,rest,parks
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10301668,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10259715,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - تجریش ,10416192,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10416190,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سبلان ,10350480,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هفت تیر ,10416178,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - وحیدیه ,10200330,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10352360,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,3961543,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10350000,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10416174,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10347648,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیروزی ,10272630,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10275264,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرحزاد ,10218641,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,3842082,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10270949,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10129137,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,3838053,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,3965070,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10183302,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - شهران ,3667473,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - شهران ,3586261,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,10334723,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - شهران ,3976891,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10260133,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10405287,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - دبستان ,10416172,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10201465,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10103883,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10258000,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10254101,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گیشا ,10332579,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,10164860,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10256692,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10334914,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10334906,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - ازگل ,10354313,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بزرگراه ارتش (لشکرک) ,10351003,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10334939,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10261965,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10275178,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,3992534,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10276136,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نامجو(گرگان) ,10203051,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - کن ,10251352,4.0,2.0,5.0,9.0,3.0,8.0,1.0
آنالیز قیمت فروش آپارتمان در تهران - هنگام ,10263256,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - امیرآباد ,10335375,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10299679,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,3884917,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه شمالی ,10335533,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - آزادی(از میدان انقلاب تا نواب) ,10332375,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دبستان ,10274119,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10334148,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10257827,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10416160,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - وحیدیه ,10416159,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خوش ,3393525,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سبلان ,10275641,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10416157,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دربند ,10251605,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,3881362,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - آجودانیه ,10333608,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پونک ,10416156,0.0,4.0,3.0,0.0,0.0,8.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - آجودانیه ,10300827,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - آجودانیه ,10299750,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیاوران ,10266469,0.0,5.0,3.0,3.0,0.0,11.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,10265517,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10416155,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خیابان مازندران ,10299165,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10348264,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10334138,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10334146,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10299131,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10296694,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10255542,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10416154,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10335312,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10276423,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10334775,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10416153,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10296690,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10416152,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10274346,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,10275446,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دولت ,10273455,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,10272307,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10416151,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10275428,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - قیطریه ,10276165,4.0,3.0,4.0,3.0,6.0,6.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - شاد آباد ,10416150,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نظام آباد ,10416148,4.0,4.0,4.0,2.0,3.0,8.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10416146,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10299256,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10299250,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10119092,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10266765,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10416136,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10416134,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - توانیر ,10351041,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10201689,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرآرا ,10353782,4.0,4.0,2.0,4.0,1.0,5.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10346753,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - دریان نو ,10299148,4.0,1.0,2.0,2.0,2.0,2.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - طرشت ,10416122,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرک اکباتان ,10186348,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10416120,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - خیابان مازندران ,3791844,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اسکندری شمالی ,10416116,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,3561433,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک اکباتان ,10000694,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - صادقیه ,10333989,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10416111,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10416110,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10416109,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - طرشت ,10333988,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10271059,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10335468,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - مجاهدین اسلام ,10299346,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10262616,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10335754,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک اکباتان ,3879348,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرک راه آهن ,2472624,4.0,0.0,7.0,6.0,4.0,10.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10260002,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10201350,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10416104,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10177370,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10147296,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10240672,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - مینی سیتی ,2391950,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10301726,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10268517,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - آیت اله کاشانی ,10266509,5.0,2.0,2.0,3.0,1.0,5.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10147988,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,3891992,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10333116,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - شهران ,10299224,4.0,2.0,5.0,4.0,1.0,5.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10161866,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10335493,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10241026,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10416098,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10299461,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - صادقیه ,10334317,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرآرا ,10416097,4.0,4.0,2.0,4.0,1.0,5.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - پیچ شمیران ,10299242,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10267724,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10260440,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10302142,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - اسکندری شمالی ,10247359,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - صادقیه ,10268169,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - شهرآرا ,10205301,4.0,4.0,2.0,4.0,1.0,5.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - ستارخان ,10185120,5.0,0.0,3.0,4.0,3.0,5.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - اسکندری شمالی ,10177872,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دریان نو ,10116770,4.0,1.0,2.0,2.0,2.0,2.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - طرشت ,10052433,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - صادقیه ,10416093,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گاندی ,10128280,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10416085,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10350001,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10416084,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10416077,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10416073,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10241431,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10052906,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,3213634,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10416064,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - نارمک ,10219340,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10416060,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10416058,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - سوهانک ,10416055,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10351841,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بلوارمرزداران ,10348060,5.0,3.0,3.0,4.0,0.0,4.0,6.0
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10416052,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10104010,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اشرفی اصفهانی(از بلوار سیمون بولیوار تا حکیم) ,10416050,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - بزرگراه ارتش (لشکرک) ,10416049,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اوین ,10416048,4.0,0.0,2.0,1.0,0.0,0.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ازگل ,10256696,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10252319,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,3998587,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10132983,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10218297,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10416042,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10204428,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - مطهری(از مدرس تا شریعتی) ,10416038,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هفت تیر ,10416037,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - لویزان ,10240310,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - لویزان ,3827869,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جنت آباد ,10416034,6.0,6.0,6.0,4.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - ظفر ,10299071,5.0,3.0,5.0,4.0,1.0,6.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - سهروردی شمالی ,10416032,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - آپادانا ,10416030,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سهروردی جنوبی ,10416029,4.0,4.0,3.0,5.0,2.0,8.0,2.0
آنالیز قیمت فروش آپارتمان در تهران - وزراء ,10416026,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,10416020,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هفت تیر ,10416019,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هنگام ,10416016,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خواجه نظام ,10416015,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دیباجی جنوبی ,10199567,5.0,2.0,4.0,2.0,1.0,4.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - دولت ,3853871,4.0,2.0,4.0,4.0,2.0,9.0,3.0
آنالیز قیمت فروش آپارتمان در تهران - بلوار فردوس ,10268518,5.0,10.0,6.0,4.0,5.0,3.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - دلاوران ,10245658,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,10261447,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرمانیه ,10354148,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دیباجی جنوبی ,10347611,5.0,2.0,4.0,2.0,1.0,4.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - دلاوران ,10077467,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دلاوران ,10416001,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10415999,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - خواجه نظام ,10415997,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - فرجام غربی( تا شهید باقری) ,3998213,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نامجو(گرگان) ,10268230,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - جلفا ,10261646,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - پیچ شمیران ,10415996,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تهران پارس ,10415994,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - زعفرانیه ,10415993,4.0,3.0,2.0,15.0,1.0,8.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - شهرک غرب ,10253510,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - تجریش ,10415984,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,3881080,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - گلبرگ ,10091510,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - حافظ ,10251963,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - نیاوران ,10244356,0.0,5.0,3.0,3.0,0.0,11.0,7.0
آنالیز قیمت فروش آپارتمان در تهران - سعادت آباد ,10415973,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - حکیمیه ,10415971,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - الهیه ,2024645,4.0,4.0,3.0,11.0,2.0,6.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - زعفرانیه ,10347811,4.0,3.0,2.0,15.0,1.0,8.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - زعفرانیه ,10242095,4.0,3.0,2.0,15.0,1.0,8.0,5.0
آنالیز قیمت فروش آپارتمان در تهران - ولنجک ,10297146,5.0,5.0,4.0,7.0,4.0,4.0,9.0
آنالیز قیمت فروش آپارتمان در تهران - مجیدیه جنوبی ,10268274,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10299240,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - اقدسیه ,10275460,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دیباجی جنوبی ,10270867,5.0,2.0,4.0,2.0,1.0,4.0,4.0
آنالیز قیمت فروش آپارتمان در تهران - هروی ,10251792,,,,,,,
آنالیز قیمت فروش آپارتمان در تهران - دروس ,10415956,4.0,1.0,4.0,7.0,2.0,3.0,4.0
